#{"t_start": 1779209359.175848, "env_id": "None"}
r,l,t
60.8,108,27.455107
135.85,29,27.459107
141.0,24,27.462409
131.65,29,27.466318
138.9,30,27.470397
131.8,34,27.475227
122.95,39,27.480677
128.85,37,27.485911
142.95,21,27.488916
126.85,29,27.492839
145.05,21,27.495687
144.35,23,27.49882
134.8,30,27.502862
137.0,26,27.506503
116.75,49,27.513115
138.85,25,27.516525
143.95,23,27.51963
141.8,24,27.52306
145.0,20,27.525992
142.9,22,27.529266
138.85,25,27.532996
110.75,47,27.540183
136.8,28,27.544464
140.25,27,27.548527
136.95,33,27.553332
131.65,27,27.557259
131.75,33,27.562427
140.2,24,27.56627
146.25,19,27.569084
137.15,29,27.57348
126.7,40,27.579001
129.25,35,27.583712
119.65,43,27.589666
143.95,23,27.592913
120.8,44,27.599018
143.3,26,27.602618
146.3,20,27.94371
139.8,28,27.947641
133.65,29,27.951643
138.85,27,27.955729
135.75,27,27.959773
139.8,28,27.964153
133.75,35,27.969735
134.9,32,27.974741
136.85,29,27.979289
139.15,25,27.983186
141.1,24,27.986997
140.1,24,27.991673
141.05,29,27.996073
145.3,22,28.000044
132.6,30,28.005008
132.75,33,28.010396
142.95,21,28.013368
139.1,24,28.016712
145.35,25,28.020604
138.95,25,28.02516
142.3,26,28.029772
143.25,23,28.03473
139.8,26,28.040191
130.9,38,28.0473
136.2,28,28.052248
139.1,24,28.056688
137.5,30,28.061937
143.9,20,28.065124
139.15,25,28.069643
140.95,25,28.074227
145.05,21,28.077902
138.9,26,28.082371
140.8,22,28.086314
146.0,20,28.090027
143.25,21,28.093846
146.05,21,28.097248
133.75,29,28.101543
136.8,28,28.105912
137.9,32,28.110495
132.55,31,28.11518
137.95,29,28.119221
137.0,26,28.122962
135.7,26,28.126762
140.3,28,28.131155
132.4,32,28.136171
142.25,23,28.140084
137.7,32,28.145103
135.85,27,28.149099
144.0,22,28.15248
146.1,24,28.156786
132.25,37,28.163542
137.2,26,28.168056
146.35,21,28.17171
138.1,28,28.176719
140.25,25,28.18094
128.6,34,28.186769
137.8,26,28.19094
143.95,21,28.194261
142.95,25,28.198123
145.05,21,28.201255
134.05,27,28.205399
126.85,43,28.212396
141.85,23,28.216155
125.05,49,28.224559
141.0,26,28.228844
139.85,25,28.233168
137.0,28,28.238062
144.95,21,28.241783
142.1,22,28.245616
143.15,21,28.249202
126.85,31,28.254245
138.85,25,28.258639
144.25,21,28.262102
143.15,21,28.265314
141.9,24,28.269123
141.9,26,28.27319
126.8,38,28.62675
132.75,29,28.630836
140.2,26,28.634431
136.7,26,28.638026
137.95,29,28.642308
142.95,21,28.645295
139.9,26,28.648936
139.9,26,28.652565
135.9,30,28.656772
138.9,26,28.660406
136.85,33,28.665012
135.75,27,28.668807
139.8,28,28.673029
139.9,26,28.676713
141.85,23,28.679953
142.9,22,28.683029
144.05,23,28.686251
132.05,37,28.69147
138.9,28,28.69541
143.0,22,28.698501
145.95,19,28.703687
136.85,29,28.710089
141.95,23,28.714211
145.95,21,28.719053
142.15,33,28.724003
144.0,22,28.727319
140.9,26,28.731239
139.9,28,28.735323
143.95,21,28.738895
146.3,20,28.741934
137.0,32,28.746594
119.45,41,28.752561
144.0,22,28.755813
141.85,21,28.758988
137.05,29,28.763173
142.95,27,28.767045
139.8,22,28.770151
134.7,30,28.774334
144.2,20,28.777166
129.9,36,28.782201
142.85,21,28.785175
139.9,24,28.788535
119.6,46,28.795224
140.9,26,28.798973
139.15,25,28.802511
139.95,27,28.806293
128.6,28,28.8102
135.8,28,28.814093
142.95,25,28.817581
143.85,21,28.820517
129.95,31,28.824841
140.85,21,28.827769
143.05,25,28.831257
136.05,33,28.835856
143.25,25,28.839361
140.15,25,28.842843
140.95,27,28.846599
134.05,29,28.850642
142.9,22,28.853705
146.05,21,28.856639
144.3,22,28.859715
144.0,22,28.862788
146.0,22,28.865863
138.05,25,28.869376
137.95,27,28.873127
132.7,32,28.877563
137.8,24,28.880908
132.8,32,28.885356
141.3,26,28.888989
142.95,25,28.892488
145.0,20,28.895288
147.05,19,28.897943
145.95,19,28.900598
131.75,29,28.904621
142.9,22,28.907715
133.65,31,28.912012
142.9,20,28.914806
143.9,20,28.91761
145.25,21,28.920547
143.2,26,29.25883
146.3,20,29.261748
140.9,24,29.265037
145.3,20,29.267834
144.2,20,29.27058
144.2,22,29.273596
132.55,33,29.2781
140.15,25,29.281495
144.95,21,29.284375
136.7,28,29.288185
130.5,30,29.29228
138.95,27,29.295975
137.75,31,29.300204
147.0,18,29.30267
147.1,20,29.305551
145.05,21,29.308628
143.05,25,29.312124
143.95,23,29.315339
142.95,23,29.318592
139.0,26,29.322222
147.05,19,29.324861
141.85,21,29.327773
143.1,24,29.33108
147.05,19,29.333729
145.0,20,29.336495
147.0,18,29.338985
145.0,22,29.342024
147.0,18,29.344526
147.05,19,29.347158
145.0,20,29.349914
143.85,23,29.353077
144.95,19,29.355707
145.2,20,29.358495
145.95,19,29.361111
140.9,28,29.364968
145.0,20,29.367735
144.9,20,29.370495
146.25,19,29.373112
147.05,19,29.375734
137.9,30,29.379865
139.8,26,29.383465
143.9,20,29.386252
137.8,28,29.390109
139.85,23,29.393282
130.9,30,29.3974
146.0,20,29.400173
141.95,23,29.403335
142.15,23,29.406519
136.0,26,29.410106
147.05,19,29.412734
143.25,23,29.415914
142.9,20,29.418668
142.9,20,29.421408
139.95,27,29.425103
147.0,18,29.427601
135.7,28,29.431463
144.25,21,29.434343
137.95,25,29.437807
143.9,20,29.44056
147.0,18,29.443041
144.95,21,29.44594
147.0,18,29.448437
145.0,22,29.451487
139.85,23,29.454652
139.05,23,29.457806
143.85,21,29.460719
144.25,21,29.463605
142.85,21,29.466492
145.95,19,29.469107
142.25,23,29.472264
145.95,19,29.474871
142.95,25,29.478334
144.95,19,29.480941
143.9,20,29.48369
102.9,46,29.489977
143.9,20,29.492729
142.4,28,29.496567
142.15,23,29.49972
137.85,27,29.503431
144.95,19,29.506043
147.05,19,29.508647
144.95,19,29.511257
146.1,22,29.514273
127.55,33,29.518852
142.9,22,29.521877
145.0,20,29.524622
140.1,26,29.528198
147.05,19,29.530813
144.25,21,29.533695
146.0,20,29.536452
145.05,21,29.539324
138.2,26,29.874259
143.0,22,29.877423
147.0,18,29.879948
140.1,22,29.883031
143.95,21,29.885968
147.05,19,29.888618
140.15,25,29.892082
142.9,20,29.894858
139.9,30,29.899009
144.2,22,29.902047
135.9,40,29.907792
143.15,23,29.911028
143.9,20,29.913804
145.95,19,29.916417
144.95,23,29.91957
144.95,21,29.922439
145.0,22,29.925448
143.95,21,29.928315
147.05,19,29.930905
143.05,25,29.934323
147.0,18,29.936784
136.7,30,29.940843
138.0,24,29.944121
143.85,25,29.947541
147.05,19,29.950156
143.2,22,29.953144
143.3,24,29.956406
140.85,21,29.95927
142.2,22,29.962252
143.15,21,29.965101
141.9,24,29.968365
146.0,20,29.971098
143.9,24,29.974356
143.25,23,29.977471
145.95,19,29.98005
144.3,22,29.98306
146.25,19,29.985641
143.1,22,29.988639
147.0,18,29.991107
144.0,22,29.994087
139.75,23,29.997204
142.85,21,30.000052
146.0,20,30.0028
138.85,25,30.006195
145.95,19,30.008774
144.95,19,30.01134
146.0,22,30.014344
146.0,20,30.01705
142.95,21,30.019891
140.9,26,30.0234
142.9,20,30.026109
146.05,21,30.028961
133.8,30,30.033009
147.1,20,30.035738
145.95,19,30.038322
144.2,20,30.041035
143.95,21,30.043875
140.0,28,30.04764
137.8,28,30.051601
144.2,20,30.054399
145.95,19,30.057024
140.95,27,30.060733
145.95,19,30.063359
143.2,22,30.066374
147.0,18,30.068852
147.0,18,30.07133
144.95,19,30.073943
141.05,23,30.07712
146.3,20,30.079852
140.05,25,30.083284
145.05,23,30.086447
145.95,21,30.089331
146.25,19,30.091939
143.9,20,30.094674
141.85,25,30.098109
147.0,18,30.1006
134.95,27,30.104317
147.05,19,30.106922
138.0,26,30.110504
146.25,19,30.113107
142.85,21,30.115978
143.95,21,30.11886
146.0,20,30.121613
144.95,23,30.124758
145.2,20,30.127501
142.95,23,30.130654
140.95,27,30.134351
146.25,19,30.136961
147.05,19,30.139561
145.05,21,30.142415
140.15,23,30.145552
144.25,21,30.148435
143.95,21,30.151317
138.8,26,30.4856
138.0,34,30.49051
144.95,19,30.493269
146.05,21,30.496259
147.1,20,30.499122
147.05,19,30.501849
147.05,19,30.504576
140.85,23,30.507878
146.3,20,30.510764
144.95,19,30.513491
147.0,18,30.516104
145.95,19,30.518825
138.75,25,30.522527
142.2,22,30.525721
144.15,23,30.528961
145.25,21,30.531904
141.9,22,30.535002
145.95,19,30.537658
143.95,21,30.540562
145.0,22,30.543627
145.0,20,30.5464
144.95,19,30.549041
140.95,23,30.552232
141.85,21,30.555151
146.0,20,30.557966
144.9,20,30.560743
143.9,20,30.563527
146.0,20,30.566301
147.05,19,30.568933
144.95,19,30.571561
146.35,21,30.574476
143.85,21,30.577385
141.05,27,30.581137
135.25,33,30.585693
142.1,22,30.588727
146.25,19,30.59136
147.1,20,30.594136
144.95,19,30.596767
145.15,25,30.600242
132.7,30,30.604391
145.0,20,30.607164
145.25,21,30.610063
147.05,19,30.612684
142.95,23,30.615867
142.85,21,30.618758
143.05,23,30.621919
145.95,19,30.624565
146.05,21,30.627598
147.0,18,30.630167
139.8,22,30.633185
142.95,21,30.636041
145.0,20,30.638773
142.0,26,30.642302
139.05,25,30.64569
146.0,20,30.648416
142.95,25,30.651798
136.75,27,30.655461
145.2,20,30.658192
140.9,22,30.661156
135.95,35,30.665859
145.95,19,30.668425
146.0,22,30.671391
147.15,21,30.674226
142.2,24,30.677491
147.0,18,30.679929
145.95,19,30.682505
145.0,20,30.685229
144.95,19,30.687821
145.95,19,30.690417
140.85,25,30.693847
141.85,23,30.69695
140.8,22,30.699925
147.1,20,30.702629
140.1,24,30.705858
136.05,29,30.709796
147.05,19,30.712358
130.95,41,30.717865
147.0,18,30.720297
145.0,20,30.723014
139.05,29,30.72694
146.0,20,30.729643
147.05,19,30.732196
145.0,20,30.734914
144.05,25,30.738297
141.9,22,30.741273
137.4,30,30.745314
146.05,21,30.748185
147.1,20,30.75087
146.0,22,30.753855
144.2,20,30.756656
147.1,20,30.759569
146.05,21,30.762554
143.95,23,30.76581
-262.6,300,31.206043
142.05,27,31.210048
144.3,22,31.213119
144.2,20,31.215901
147.0,18,31.218397
145.1,22,31.221444
147.0,18,31.224148
141.85,23,31.22745
144.95,19,31.230158
141.05,27,31.234011
142.85,25,31.237549
143.95,25,31.241182
147.1,20,31.243972
146.3,20,31.246737
125.8,46,31.252983
147.05,19,31.255635
145.05,21,31.258492
143.25,27,31.262192
138.95,29,31.266182
147.0,18,31.268621
147.05,19,31.271229
147.05,19,31.274208
147.05,19,31.276979
142.95,25,31.280511
145.0,20,31.283369
145.95,21,31.286515
145.95,21,31.2896
144.2,20,31.292406
145.05,21,31.295297
144.3,22,31.298335
143.95,21,31.301234
135.95,37,31.30656
147.0,18,31.309187
95.5,66,31.318511
143.85,27,31.32259
136.5,34,31.327486
143.95,21,31.330525
137.1,36,31.335677
146.0,20,31.338626
140.95,27,31.342629
147.05,19,31.345326
146.0,20,31.348172
142.2,22,31.351265
143.0,22,31.3544
147.1,20,31.357404
146.0,20,31.360489
147.05,19,31.363241
147.0,18,31.365834
116.0,52,31.373583
